read2_code,phecode
B143.,153.3
B14z.,153.0
B150.,155.0
B1500,155.1
B1503,155.1
B150z,155.0
B1513,155.0
B151z,155.0
B152.,155.0
B16..,159.3
B161.,159.3
B1611,159.3
B162.,159.3
B163.,159.3
B16y.,159.3
B16z.,159.3
B17..,157.0
B170.,157.0
B171.,157.0
B172.,157.0
B173.,157.0
B17z.,157.0
B18..,159.4
B180.,159.4
B182.,159.4
B18y.,198.3
B18y3,159.4
B18y5,159.4
B18yz,159.4
B1z0.,153.2
B1zz.,159.0
B2002,149.9
B2003,149.9
B2013,149.9
B201z,149.9
B203.,149.9
B205.,149.9
B21..,149.4
B210.,149.4
B211.,149.4
B212.,149.4
B213.,149.4
B213z,149.4
B21y.,149.4
B21z.,149.4
B221.,165.1
B2210,165.1
B2211,165.1
B221z,165.1
B2220,165.1
B2221,165.1
B222z,165.1
B223.,165.1
B2231,165.1
B224.,165.1
B2240,165.1
B2241,165.1
B224z,165.1
B225.,165.1
B22y.,165.1
B22z.,165.1
B23..,165.0
B240.,164.0
B26..,165.0
B2z..,165.0
B3001,170.1
B301.,170.1
B302.,198.6
B3022,198.6
B302z,170.1
B303.,198.6
B3030,170.1
B304.,170.1
B306.,198.6
B3070,170.1
B30z.,170.1
B3101,170.2
B310z,170.2
B3121,170.2
B3123,170.2
B3124,170.2
B31y.,170.2
B31z.,170.2
B32..,172.11
B3220,172.11
B322z,172.11
B323.,172.11
B3230,172.11
B3233,172.11
B3234,172.11
B3235,172.11
B323z,172.11
B324.,172.11
B3240,172.11
B3241,172.11
B325.,172.11
B3250,172.11
B3251,172.11
B3252,172.11
B3253,172.11
B3254,172.11
B3255,172.11
B325z,172.11
B326.,172.11
B3260,172.11
B3261,172.11
B3262,172.11
B3263,172.11
B3264,172.11
B3265,172.11
B327.,172.11
B3270,172.11
B3271,172.11
B3272,172.11
B3273,172.11
B3274,172.11
B3275,172.11
B3276,172.11
B3277,172.11
B3278,172.11
B3279,172.11
B327z,172.11
B32y.,172.11
B32z.,172.11
B33..,172.2
B330.,172.2
B331.,172.2
B332.,172.2
B3320,172.2
B333.,172.2
B3330,172.2
B3331,172.2
B3332,172.2
B3333,172.2
B3334,172.2
B3335,172.2
B333z,172.2
B3340,172.2
B3341,172.2
B334z,172.2
B335.,172.2
B3351,172.2
B3352,172.2
B3353,172.2
B3356,172.2
B3357,172.2
B336.,172.2
B3360,172.2
B3362,172.2
B3365,172.2
B337.,172.2
B3371,172.2
B3374,172.2
B33y.,172.2
B33z.,172.2
B34..,174.11
B340.,174.11
B3400,174.11
B341.,174.11
B342.,174.11
B343.,174.11
B344.,174.11
B345.,174.11
B346.,174.11
B347.,174.11
B34y.,174.11
B34yz,174.11
B34z.,174.11
B35..,174.11
B35zz,174.11
B40..,182.0
B41..,180.1
B410.,180.1
B4100,180.1
B410z,180.1
B411.,180.1
B41y.,180.1
B41z.,180.1
B420.,184.1
B43..,182.0
B430.,182.0
B4301,182.0
B4302,182.0
B430z,182.0
B432.,182.0
B43y.,182.0
B43z.,182.0
B44..,184.1
B440.,184.11
B441.,184.1
B450.,184.2
B451.,184.2
B4510,184.2
B454.,184.2
B45z.,184.1
B46..,185.0
B47..,187.2
B470.,187.2
B4701,187.2
B471.,187.2
B47z.,187.2
B480.,187.1
B481.,187.1
B482.,187.1
B483.,187.1
B485.,187.1
B48y0,187.1
B48yz,187.1
B49..,189.21
B490.,189.21
B491.,189.21
B492.,189.21
B493.,189.21
B494.,189.21
B495.,189.21
B496.,189.21
B49y.,189.21
B49z.,189.21
B4A..,189.11
B4A0.,189.11
B4A00,189.11
B4A1.,189.12
B4A10,189.12
B4A1z,189.12
B4A2.,189.4
B4A3.,189.4
B4Az.,189.4
B50..,190.0
B5000,190.0
B5001,190.0
B501.,190.0
B503.,190.0
B505.,190.0
B506.,190.0
B5070,190.0
B50y.,190.0
B50z.,190.0
B510.,191.11
B5100,191.11
B510z,191.11
B511.,191.11
B512.,191.11
B513.,191.11
