read2_code,phecode
B1110,151.0
B114.,151.0
B118.,151.0
B119.,151.0
B11z.,151.0
B12..,159.2
B120.,159.2
B121.,159.2
B122.,159.2
B12z.,159.2
B13..,153.2
B130.,153.2
B131.,153.2
B132.,153.2
B133.,153.2
B134.,153.2
B135.,153.2
B136.,153.2
B137.,153.2
B13z.,153.2
B140.,153.3
B141.,153.3
B142.,153.3
B143.,153.3
B14z.,153.0
B15..,155.0
B150.,155.0
B1500,155.0
B1503,155.1
B151.,155.0
B151z,155.0
B152.,155.0
B153.,198.4
B160.,159.3
B1611,159.3
B161z,159.3
B162.,159.3
B16z.,159.3
B17..,157.0
B170.,157.0
B171.,157.0
B172.,157.0
B17z.,157.0
B18..,159.4
B180.,159.4
B181.,159.4
B18y.,159.4
B18y3,159.4
B18yz,159.4
B18z.,159.4
B1z0.,153.2
B2...,165.0
B200z,149.9
B202.,149.9
B20y.,149.9
B21..,149.4
B210.,149.4
B211.,149.4
B213.,149.4
B2133,149.4
B215.,149.4
B21y.,149.4
B21z.,149.4
B22..,165.1
B220z,165.1
B221.,165.1
B2211,165.1
B221z,165.1
B222.,165.1
B2220,165.1
B2221,165.1
B222z,165.1
B223.,165.1
B2231,165.1
B223z,165.1
B224.,165.1
B2241,165.1
B224z,165.1
B226.,195.1
B22y.,165.1
B22z.,165.1
B23..,165.0
B232.,165.0
B240.,164.0
B30..,170.1
B300.,170.1
B300A,170.1
B301.,170.1
B3020,170.1
B3022,170.1
B302z,170.1
B3032,170.1
B3054,170.1
B305C,170.1
B306.,170.1
B3063,170.1
B307.,170.1
B3070,170.1
B3072,170.1
B30z.,170.1
B30z0,170.1
B3102,170.2
B3103,170.2
B311.,170.2
B3110,170.2
B312.,170.2
B3121,170.2
B312z,170.2
B3133,170.2
B3141,170.2
B3150,170.2
B315z,170.2
B31z.,170.2
B32..,172.11
B320.,172.11
B321.,172.11
B322.,172.11
B3220,172.11
B3230,172.11
B3232,172.11
B3233,172.11
B3235,172.11
B323z,172.11
B3240,172.11
B3241,172.11
B325.,172.11
B3251,172.11
B3253,172.11
B3257,172.11
B3258,172.11
B325z,172.11
B326.,172.11
B3260,172.11
B3261,172.11
B3262,172.11
B3263,172.11
B3265,172.11
B326z,172.11
B327.,172.11
B3271,172.11
B3274,172.11
B3275,172.11
B3277,172.11
B327z,172.11
B32y.,172.11
B32z.,172.11
B33..,172.2
B330.,172.2
B331.,172.2
B3310,172.2
B332.,172.2
B3320,172.2
B3322,172.2
B333.,172.2
B3330,172.2
B3331,172.2
B3332,172.2
B3333,172.2
B3334,172.2
B3335,172.2
B333z,172.2
B334.,172.2
B3340,172.2
B3341,172.2
B335.,172.2
B3351,172.2
B3352,172.2
B3353,172.2
B3357,172.2
B3359,172.2
B336.,172.2
B3360,172.2
B3362,172.2
B3371,172.2
B3374,172.2
B3379,172.2
B337z,172.2
B338.,172.2
B339.,172.2
B33y.,172.2
B33z.,172.2
B33z1,172.2
B34..,174.11
B340.,174.11
B3400,174.11
B3401,174.11
